estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
matcomplete,0.5,1.0,95,16,na,0,True,True,0.03420931376745147
rbf_paired,0.5,1.0,95,17,knn,8,True,True,0.05415451563311882
rbf_unpaired,0.5,1.0,95,17,knn,8,True,True,0.051979357924052644
rbf_combined,0.5,1.0,95,17,knn,8,True,True,0.041475465354572444
matcomplete,0.5,1.0,95,17,na,0,True,True,0.03940912069156097
rbf_paired,0.5,1.0,95,18,knn,8,True,True,0.05971259065738829
rbf_unpaired,0.5,1.0,95,18,knn,8,True,True,0.0551620169462299
rbf_combined,0.5,1.0,95,18,knn,8,True,True,0.046353719090411444
matcomplete,0.5,1.0,95,18,na,0,True,True,0.033408569420612336
rbf_paired,0.5,1.0,95,19,knn,8,True,True,0.0556651098220176
rbf_unpaired,0.5,1.0,95,19,knn,8,True,True,0.05446404183672443
rbf_combined,0.5,1.0,95,19,knn,8,True,True,0.04505920623668034
matcomplete,0.5,1.0,95,19,na,0,True,True,0.0368442147892199
rbf_paired,0.7,1.0,95,0,knn,8,True,True,0.05487457572545495
rbf_unpaired,0.7,1.0,95,0,knn,8,True,True,0.04901988723033496
rbf_combined,0.7,1.0,95,0,knn,8,True,True,0.03146061162472808
matcomplete,0.7,1.0,95,0,na,0,True,True,0.025176801632923268
rbf_paired,0.7,1.0,95,1,knn,8,True,True,0.0616414669769268
rbf_unpaired,0.7,1.0,95,1,knn,8,True,True,0.056665449266323095
rbf_combined,0.7,1.0,95,1,knn,8,True,True,0.04619347816017037
matcomplete,0.7,1.0,95,1,na,0,True,True,0.03719958506636822
rbf_paired,0.7,1.0,95,2,knn,8,True,True,0.057851344994079255
rbf_unpaired,0.7,1.0,95,2,knn,8,True,True,0.056340337807259694
rbf_combined,0.7,1.0,95,2,knn,8,True,True,0.03996526713561118
matcomplete,0.7,1.0,95,2,na,0,True,True,0.03103913826008244
rbf_paired,0.7,1.0,95,3,knn,8,True,True,0.05545997506849537
rbf_unpaired,0.7,1.0,95,3,knn,8,True,True,0.051575406358728954
rbf_combined,0.7,1.0,95,3,knn,8,True,True,0.04273738980806695
matcomplete,0.7,1.0,95,3,na,0,True,True,0.041349382137584115
rbf_paired,0.7,1.0,95,4,knn,8,True,True,0.05556405430359293
rbf_unpaired,0.7,1.0,95,4,knn,8,True,True,0.05438737160012747
rbf_combined,0.7,1.0,95,4,knn,8,True,True,0.043428989183089475
matcomplete,0.7,1.0,95,4,na,0,True,True,0.032502271674252986
rbf_paired,0.7,1.0,95,5,knn,8,True,True,0.058695449951366094
rbf_unpaired,0.7,1.0,95,5,knn,8,True,True,0.051362788046379185
rbf_combined,0.7,1.0,95,5,knn,8,True,True,0.040119732348208266
matcomplete,0.7,1.0,95,5,na,0,True,True,0.03619707204515271
rbf_paired,0.7,1.0,95,6,knn,8,True,True,0.06914361777657654
rbf_unpaired,0.7,1.0,95,6,knn,8,True,True,0.05247361919353536
rbf_combined,0.7,1.0,95,6,knn,8,True,True,0.040014683878129606
matcomplete,0.7,1.0,95,6,na,0,True,True,0.03157281117327231
rbf_paired,0.7,1.0,95,7,knn,8,True,True,0.07079535176721166
rbf_unpaired,0.7,1.0,95,7,knn,8,True,True,0.05364896811720509
rbf_combined,0.7,1.0,95,7,knn,8,True,True,0.03788330165623077
matcomplete,0.7,1.0,95,7,na,0,True,True,0.04068453772800137
rbf_paired,0.7,1.0,95,8,knn,8,True,True,0.050481942009213195
rbf_unpaired,0.7,1.0,95,8,knn,8,True,True,0.04492374438354926
rbf_combined,0.7,1.0,95,8,knn,8,True,True,0.035160878683207525
matcomplete,0.7,1.0,95,8,na,0,True,True,0.02920686187032652
rbf_paired,0.7,1.0,95,9,knn,8,True,True,0.05274845366128231
rbf_unpaired,0.7,1.0,95,9,knn,8,True,True,0.05390020127354617
rbf_combined,0.7,1.0,95,9,knn,8,True,True,0.04552087145998634
matcomplete,0.7,1.0,95,9,na,0,True,True,0.032919718021932234
rbf_paired,0.7,1.0,95,10,knn,8,True,True,0.05473829991086262
