estimator,obs_prob,seed,rmse
rbf_unpaired,0.5,24,0.31622268673962006
rbf_combined,0.5,24,0.23046119707117296
rbf_paired,0.7,0,0.314069396316288
rbf_unpaired,0.7,0,0.32102904183086695
rbf_combined,0.7,0,0.18898620232330393
rbf_paired,0.7,1,0.28462474160729745
rbf_unpaired,0.7,1,0.3289699199051154
rbf_combined,0.7,1,0.17606839582147094
rbf_paired,0.7,2,0.25699496995216264
rbf_unpaired,0.7,2,0.2976557434575777
rbf_combined,0.7,2,0.18318989834966928
rbf_paired,0.7,3,0.3111558115262229
rbf_unpaired,0.7,3,0.29963199180246813
rbf_combined,0.7,3,0.17320989295561343
rbf_paired,0.7,4,0.2600678621851245
rbf_unpaired,0.7,4,0.33056652657407243
rbf_combined,0.7,4,0.2139977493164366
rbf_paired,0.7,5,0.21308347441809364
rbf_unpaired,0.7,5,0.32664595084728515
rbf_combined,0.7,5,0.19908286499315125
rbf_paired,0.7,6,0.27247251974073333
rbf_unpaired,0.7,6,0.2958310032935169
rbf_combined,0.7,6,0.19169226226328434
rbf_paired,0.7,7,0.2660968365387068
rbf_unpaired,0.7,7,0.2777885188179833
rbf_combined,0.7,7,0.16531263069661842
rbf_paired,0.7,8,0.2935965319143733
rbf_unpaired,0.7,8,0.32068646124067
rbf_combined,0.7,8,0.18704565533663253
rbf_paired,0.7,9,0.26189458043650904
rbf_unpaired,0.7,9,0.31510387512906574
rbf_combined,0.7,9,0.19271854458852214
rbf_paired,0.7,10,0.28365983752857155
rbf_unpaired,0.7,10,0.29712464313733494
rbf_combined,0.7,10,0.16941192296142943
rbf_paired,0.7,11,0.2619751074502566
rbf_unpaired,0.7,11,0.2938871554480899
rbf_combined,0.7,11,0.19422571368439068
rbf_paired,0.7,12,0.2890531449076536
rbf_unpaired,0.7,12,0.3069575966121915
rbf_combined,0.7,12,0.18201781930111596
rbf_paired,0.7,13,0.22067763635202317
rbf_unpaired,0.7,13,0.3203378137252764
rbf_combined,0.7,13,0.19374585112963727
rbf_paired,0.7,14,0.29316640990824505
rbf_unpaired,0.7,14,0.3125288876716836
rbf_combined,0.7,14,0.16531896421541514
rbf_paired,0.7,15,0.2479677841726373
rbf_unpaired,0.7,15,0.2781239381020913
rbf_combined,0.7,15,0.16739317513768087
rbf_paired,0.7,16,0.2979106656774498
rbf_unpaired,0.7,16,0.3247138848642779
rbf_combined,0.7,16,0.16775532774725402
rbf_paired,0.7,17,0.257177942260519
rbf_unpaired,0.7,17,0.314147991569214
rbf_combined,0.7,17,0.16431052677515395
rbf_paired,0.7,18,0.24571725512605597
rbf_unpaired,0.7,18,0.31315548352437833
rbf_combined,0.7,18,0.16815899797890885
rbf_paired,0.7,19,0.25350303886800357
rbf_unpaired,0.7,19,0.30021252281219085
rbf_combined,0.7,19,0.1705859339327213
rbf_paired,0.7,20,0.26208283067959554
rbf_unpaired,0.7,20,0.2771629409464378
rbf_combined,0.7,20,0.1851317966406088
rbf_paired,0.7,21,0.22010995803754596
rbf_unpaired,0.7,21,0.28327757569472745
rbf_combined,0.7,21,0.1782647413991305
rbf_paired,0.7,22,0.2519504810015404
rbf_unpaired,0.7,22,0.314074997733416
rbf_combined,0.7,22,0.1878970833429324
rbf_paired,0.7,23,0.25591415653592103
rbf_unpaired,0.7,23,0.3134057544797119
rbf_combined,0.7,23,0.1862439680191329
rbf_paired,0.7,24,0.24359572623231598
rbf_unpaired,0.7,24,0.3374630442365362
rbf_combined,0.7,24,0.19163500780986042
rbf_paired,0.9,0,0.20300083549737524
rbf_unpaired,0.9,0,0.3135925058436297
rbf_combined,0.9,0,0.1843007319751891
rbf_paired,0.9,1,0.145771831890889
rbf_unpaired,0.9,1,0.295875313088675
rbf_combined,0.9,1,0.14524665946614154
rbf_paired,0.9,2,0.16464855416934224
rbf_unpaired,0.9,2,0.3074905521067117
rbf_combined,0.9,2,0.1691986165416421
rbf_paired,0.9,3,0.1887286248249643
rbf_unpaired,0.9,3,0.3585115682182035
rbf_combined,0.9,3,0.1815674636052401
rbf_paired,0.9,4,0.19091769260787883
rbf_unpaired,0.9,4,0.33905430182824936
rbf_combined,0.9,4,0.16525628905210898
rbf_paired,0.9,5,0.21158253010631461
rbf_unpaired,0.9,5,0.25482121722968115
rbf_combined,0.9,5,0.17763368620458178
rbf_paired,0.9,6,0.16123257586111203
rbf_unpaired,0.9,6,0.2750430024473925
rbf_combined,0.9,6,0.14951417457849236
rbf_paired,0.9,7,0.19940014904714878
rbf_unpaired,0.9,7,0.2634960680180671
rbf_combined,0.9,7,0.1722539347390637
rbf_paired,0.9,8,0.19171667790192612
rbf_unpaired,0.9,8,0.31298613692783384
rbf_combined,0.9,8,0.18210731375499475
rbf_paired,0.9,9,0.1993630249171147
rbf_unpaired,0.9,9,0.3433667359521697
rbf_combined,0.9,9,0.18841573815104642
rbf_paired,0.9,10,0.1471321425576733
rbf_unpaired,0.9,10,0.3275541664477523
rbf_combined,0.9,10,0.1327996460454891
rbf_paired,0.9,11,0.14414327314636932
rbf_unpaired,0.9,11,0.2680183242149927
rbf_combined,0.9,11,0.12750760774180742
rbf_paired,0.9,12,0.2096829392884834
rbf_unpaired,0.9,12,0.33652945688363417
rbf_combined,0.9,12,0.16187137029500503
rbf_paired,0.9,13,0.15111409387498523
rbf_unpaired,0.9,13,0.30327452308553693
rbf_combined,0.9,13,0.12910146845718481
rbf_paired,0.9,14,0.14603402369649543
rbf_unpaired,0.9,14,0.2733672199888819
rbf_combined,0.9,14,0.127158967758642
rbf_paired,0.9,15,0.17060839303978326
rbf_unpaired,0.9,15,0.2684608439991231
rbf_combined,0.9,15,0.16637065677331067
rbf_paired,0.9,16,0.15902890189292498
rbf_unpaired,0.9,16,0.30359556638642304
rbf_combined,0.9,16,0.15403308556026182
rbf_paired,0.9,17,0.1503668219748165
rbf_unpaired,0.9,17,0.228065230995121
rbf_combined,0.9,17,0.13376239162331632
rbf_paired,0.9,18,0.1689479329863335
rbf_unpaired,0.9,18,0.3631891895459573
rbf_combined,0.9,18,0.1841212838494387
rbf_paired,0.9,19,0.19615687749630756
rbf_unpaired,0.9,19,0.2660673967806792
rbf_combined,0.9,19,0.21192312377662614
rbf_paired,0.9,20,0.19347643692207084
