estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
matcomplete,0.1,1.0,95,13,na,0,True,True,0.1573763465717181
rbf_paired,0.1,1.0,95,14,knn,8,True,True,0.11770387460941689
rbf_unpaired,0.1,1.0,95,14,knn,8,True,True,0.12131948716275438
rbf_combined,0.1,1.0,95,14,knn,8,True,True,0.11164532793547127
matcomplete,0.1,1.0,95,14,na,0,True,True,0.09605043061647463
rbf_paired,0.1,1.0,95,15,knn,8,True,True,0.13029807356029396
rbf_unpaired,0.1,1.0,95,15,knn,8,True,True,0.13152285900398097
rbf_combined,0.1,1.0,95,15,knn,8,True,True,0.12732760797011433
matcomplete,0.1,1.0,95,15,na,0,True,True,0.11312945889892165
rbf_paired,0.1,1.0,95,16,knn,8,True,True,0.13281164100700157
rbf_unpaired,0.1,1.0,95,16,knn,8,True,True,0.1325440792781428
rbf_combined,0.1,1.0,95,16,knn,8,True,True,0.1361536378832028
matcomplete,0.1,1.0,95,16,na,0,True,True,0.13693385816723055
rbf_paired,0.1,1.0,95,17,knn,8,True,True,0.12621052139256653
rbf_unpaired,0.1,1.0,95,17,knn,8,True,True,0.12766338369726865
rbf_combined,0.1,1.0,95,17,knn,8,True,True,0.12166634806931043
matcomplete,0.1,1.0,95,17,na,0,True,True,0.11792260291285532
rbf_paired,0.1,1.0,95,18,knn,8,True,True,0.12546025389926496
rbf_unpaired,0.1,1.0,95,18,knn,8,True,True,0.12656446379382838
rbf_combined,0.1,1.0,95,18,knn,8,True,True,0.11791194949590736
matcomplete,0.1,1.0,95,18,na,0,True,True,0.14579896515941143
rbf_paired,0.1,1.0,95,19,knn,8,True,True,0.14108813800097061
rbf_unpaired,0.1,1.0,95,19,knn,8,True,True,0.13939819935611422
rbf_combined,0.1,1.0,95,19,knn,8,True,True,0.12414695737703949
matcomplete,0.1,1.0,95,19,na,0,True,True,0.10415030578775483
rbf_paired,0.2,0.1,95,0,knn,8,True,True,0.2110655859888371
rbf_unpaired,0.2,0.1,95,0,knn,8,True,True,0.2138326740142737
rbf_combined,0.2,0.1,95,0,knn,8,True,True,0.20220528091804915
matcomplete,0.2,0.1,95,0,na,0,True,True,0.22795522897442033
rbf_paired,0.2,0.1,95,1,knn,8,True,True,0.22055394886254906
rbf_unpaired,0.2,0.1,95,1,knn,8,True,True,0.2173966446273152
rbf_combined,0.2,0.1,95,1,knn,8,True,True,0.22439787663951913
matcomplete,0.2,0.1,95,1,na,0,True,True,0.22343923854115966
rbf_paired,0.2,0.1,95,2,knn,8,True,True,0.20286097782089224
rbf_unpaired,0.2,0.1,95,2,knn,8,True,True,0.1961843441058467
rbf_combined,0.2,0.1,95,2,knn,8,True,True,0.20749032859220873
matcomplete,0.2,0.1,95,2,na,0,True,True,0.22658117344972883
rbf_paired,0.2,0.1,95,3,knn,8,True,True,0.21086488623673033
rbf_unpaired,0.2,0.1,95,3,knn,8,True,True,0.1977240495529509
rbf_combined,0.2,0.1,95,3,knn,8,True,True,0.21810629010960458
matcomplete,0.2,0.1,95,3,na,0,True,True,0.1973069798834292
rbf_paired,0.2,0.1,95,4,knn,8,True,True,0.23075288481847783
rbf_unpaired,0.2,0.1,95,4,knn,8,True,True,0.21887549643181542
rbf_combined,0.2,0.1,95,4,knn,8,True,True,0.22111832234650333
matcomplete,0.2,0.1,95,4,na,0,True,True,0.22213798985342706
rbf_paired,0.2,0.1,95,5,knn,8,True,True,0.24171151029795698
rbf_unpaired,0.2,0.1,95,5,knn,8,True,True,0.2349078464234094
rbf_combined,0.2,0.1,95,5,knn,8,True,True,0.25729773705846
matcomplete,0.2,0.1,95,5,na,0,True,True,0.23610309741584593
rbf_paired,0.2,0.1,95,6,knn,8,True,True,0.21886196945957387
rbf_unpaired,0.2,0.1,95,6,knn,8,True,True,0.2276204822474003
rbf_combined,0.2,0.1,95,6,knn,8,True,True,0.22722183054481054
matcomplete,0.2,0.1,95,6,na,0,True,True,0.19363707603674568
rbf_paired,0.2,0.1,95,7,knn,8,True,True,0.18720459364592745
rbf_unpaired,0.2,0.1,95,7,knn,8,True,True,0.18409183010730132
rbf_combined,0.2,0.1,95,7,knn,8,True,True,0.18828276437996136
matcomplete,0.2,0.1,95,7,na,0,True,True,0.23325616265427812
rbf_paired,0.2,0.1,95,8,knn,8,True,True,0.24551775392629435
rbf_unpaired,0.2,0.1,95,8,knn,8,True,True,0.24307451020003298
rbf_combined,0.2,0.1,95,8,knn,8,True,True,0.24185828824316394
matcomplete,0.2,0.1,95,8,na,0,True,True,0.23743111229216154
rbf_paired,0.2,0.1,95,9,knn,8,True,True,0.21921601033219673
rbf_unpaired,0.2,0.1,95,9,knn,8,True,True,0.213117652445302
rbf_combined,0.2,0.1,95,9,knn,8,True,True,0.22720659704020935
matcomplete,0.2,0.1,95,9,na,0,True,True,0.21061318259694248
rbf_paired,0.2,0.1,95,10,knn,8,True,True,0.22238803755488418
rbf_unpaired,0.2,0.1,95,10,knn,8,True,True,0.21575723205400243
rbf_combined,0.2,0.1,95,10,knn,8,True,True,0.22190683111188417
matcomplete,0.2,0.1,95,10,na,0,True,True,0.2305848010371671
rbf_paired,0.2,0.1,95,11,knn,8,True,True,0.22417309060012047
rbf_unpaired,0.2,0.1,95,11,knn,8,True,True,0.22246294078340376
rbf_combined,0.2,0.1,95,11,knn,8,True,True,0.22630358249700872
matcomplete,0.2,0.1,95,11,na,0,True,True,0.22099960282287448
rbf_paired,0.2,0.1,95,12,knn,8,True,True,0.22501768386790144
rbf_unpaired,0.2,0.1,95,12,knn,8,True,True,0.21339040509824975
rbf_combined,0.2,0.1,95,12,knn,8,True,True,0.22589125338409946
matcomplete,0.2,0.1,95,12,na,0,True,True,0.21261017170113203
rbf_paired,0.2,0.1,95,13,knn,8,True,True,0.20164161081558069
