estimator,obs_prob,query_obs_prob,n_models,seed,rmse
rbf_combined,0.3,0.7,95,1,0.2458774548450238
rbf_paired,0.3,0.7,95,2,0.2933692851478101
rbf_unpaired,0.3,0.7,95,2,0.2984445131553619
rbf_combined,0.3,0.7,95,2,0.23862089911123563
rbf_paired,0.3,0.7,95,3,0.3107051869194262
rbf_unpaired,0.3,0.7,95,3,0.3174305258164431
rbf_combined,0.3,0.7,95,3,0.23996925709926034
rbf_paired,0.3,0.7,95,4,0.3048118146509545
rbf_unpaired,0.3,0.7,95,4,0.29933720838681255
rbf_combined,0.3,0.7,95,4,0.2634394682668132
rbf_paired,0.3,0.7,95,5,0.3024613916124197
rbf_unpaired,0.3,0.7,95,5,0.30955002827706213
rbf_combined,0.3,0.7,95,5,0.23855971293640243
rbf_paired,0.3,0.7,95,6,0.30113398710878325
rbf_unpaired,0.3,0.7,95,6,0.3077241000551003
rbf_combined,0.3,0.7,95,6,0.25214799593933845
rbf_paired,0.3,0.7,95,7,0.30057825554482304
rbf_unpaired,0.3,0.7,95,7,0.3163353371965165
rbf_combined,0.3,0.7,95,7,0.23639483965049696
rbf_paired,0.3,0.7,95,8,0.306623865551296
rbf_unpaired,0.3,0.7,95,8,0.319440646687019
rbf_combined,0.3,0.7,95,8,0.2382979149112616
rbf_paired,0.3,0.7,95,9,0.2910475206088847
rbf_unpaired,0.3,0.7,95,9,0.29676497797838064
rbf_combined,0.3,0.7,95,9,0.24912930044735965
rbf_paired,0.3,0.7,95,10,0.29487467697980435
rbf_unpaired,0.3,0.7,95,10,0.3087647394633101
rbf_combined,0.3,0.7,95,10,0.24956488261496712
rbf_paired,0.3,0.7,95,11,0.3078985565028436
rbf_unpaired,0.3,0.7,95,11,0.3017876428934339
rbf_combined,0.3,0.7,95,11,0.2413901800522337
rbf_paired,0.3,0.7,95,12,0.3032439968395996
rbf_unpaired,0.3,0.7,95,12,0.308872249413707
rbf_combined,0.3,0.7,95,12,0.24611558573116818
rbf_paired,0.3,0.7,95,13,0.3256834967214432
rbf_unpaired,0.3,0.7,95,13,0.3148687240801702
rbf_combined,0.3,0.7,95,13,0.24998728537996848
rbf_paired,0.3,0.7,95,14,0.31490238028002837
rbf_unpaired,0.3,0.7,95,14,0.31283835362566964
rbf_combined,0.3,0.7,95,14,0.2222185964552534
rbf_paired,0.3,0.7,95,15,0.29411440393183985
rbf_unpaired,0.3,0.7,95,15,0.29717198841344644
rbf_combined,0.3,0.7,95,15,0.2374460726572801
rbf_paired,0.3,0.7,95,16,0.3262965200157747
rbf_unpaired,0.3,0.7,95,16,0.3169157010068069
rbf_combined,0.3,0.7,95,16,0.24892960389371865
rbf_paired,0.3,0.7,95,17,0.31151669061439224
rbf_unpaired,0.3,0.7,95,17,0.3095290174146074
rbf_combined,0.3,0.7,95,17,0.24071905560679183
rbf_paired,0.3,0.7,95,18,0.3180771785119457
rbf_unpaired,0.3,0.7,95,18,0.31381721911855576
rbf_combined,0.3,0.7,95,18,0.24764055074980493
rbf_paired,0.3,0.7,95,19,0.3062117766187816
rbf_unpaired,0.3,0.7,95,19,0.3006088795751656
rbf_combined,0.3,0.7,95,19,0.2566851109987948
rbf_paired,0.3,0.7,95,20,0.29681683679433213
rbf_unpaired,0.3,0.7,95,20,0.30565124768181595
rbf_combined,0.3,0.7,95,20,0.23984055228873613
rbf_paired,0.3,0.7,95,21,0.3193400598847311
rbf_unpaired,0.3,0.7,95,21,0.3109410004686437
rbf_combined,0.3,0.7,95,21,0.24548979531337592
rbf_paired,0.3,0.7,95,22,0.3058069246466237
rbf_unpaired,0.3,0.7,95,22,0.29835318172185077
rbf_combined,0.3,0.7,95,22,0.23769878213621176
rbf_paired,0.3,0.7,95,23,0.30233999971970343
rbf_unpaired,0.3,0.7,95,23,0.31796895230883154
rbf_combined,0.3,0.7,95,23,0.26628319807533146
rbf_paired,0.3,0.7,95,24,0.3190107036809699
rbf_unpaired,0.3,0.7,95,24,0.3008868156422122
rbf_combined,0.3,0.7,95,24,0.25033466874018984
rbf_paired,0.3,1.0,95,0,0.31938018359898623
rbf_unpaired,0.3,1.0,95,0,0.3084700155461025
rbf_combined,0.3,1.0,95,0,0.26927676752766094
rbf_paired,0.3,1.0,95,1,0.3091630015863122
rbf_unpaired,0.3,1.0,95,1,0.3183274610860715
rbf_combined,0.3,1.0,95,1,0.24461181656060474
rbf_paired,0.3,1.0,95,2,0.2926736214968924
rbf_unpaired,0.3,1.0,95,2,0.2980987082613516
rbf_combined,0.3,1.0,95,2,0.23441478481570988
rbf_paired,0.3,1.0,95,3,0.31073900484722544
rbf_unpaired,0.3,1.0,95,3,0.31760711075723286
rbf_combined,0.3,1.0,95,3,0.23852195047097105
rbf_paired,0.3,1.0,95,4,0.304520971628488
rbf_unpaired,0.3,1.0,95,4,0.3014228299708011
rbf_combined,0.3,1.0,95,4,0.265470402517072
rbf_paired,0.3,1.0,95,5,0.3015770340617781
rbf_unpaired,0.3,1.0,95,5,0.308523253544813
rbf_combined,0.3,1.0,95,5,0.23716962897648278
rbf_paired,0.3,1.0,95,6,0.3014950965920573
rbf_unpaired,0.3,1.0,95,6,0.306107647905535
rbf_combined,0.3,1.0,95,6,0.25753079037353394
rbf_paired,0.3,1.0,95,7,0.29993290527822664
rbf_unpaired,0.3,1.0,95,7,0.31634954985401736
