m_p,m_u,seed,estimator,mse
25,0,36,paired,0.007428246392327491
25,0,36,unpaired,
25,0,36,combined,0.007428246392327491
25,0,36,pooled,0.007428246392327491
25,0,37,paired,0.022120339341043363
25,0,37,unpaired,
25,0,37,combined,0.022120339341043363
25,0,37,pooled,0.022120339341043363
25,0,38,paired,0.009866597154920534
25,0,38,unpaired,
25,0,38,combined,0.009866597154920534
25,0,38,pooled,0.009866597154920534
25,0,39,paired,0.007470337863499997
25,0,39,unpaired,
25,0,39,combined,0.007470337863499997
25,0,39,pooled,0.007470337863499997
25,0,40,paired,0.006753211098722353
25,0,40,unpaired,
25,0,40,combined,0.006753211098722353
25,0,40,pooled,0.006753211098722353
25,0,41,paired,0.028860663250154777
25,0,41,unpaired,
25,0,41,combined,0.028860663250154777
25,0,41,pooled,0.028860663250154777
25,0,42,paired,0.00887654179167195
25,0,42,unpaired,
25,0,42,combined,0.00887654179167195
25,0,42,pooled,0.00887654179167195
25,0,43,paired,0.008903079056787128
25,0,43,unpaired,
25,0,43,combined,0.008903079056787128
25,0,43,pooled,0.008903079056787128
25,0,44,paired,0.0063293244506183195
25,0,44,unpaired,
25,0,44,combined,0.0063293244506183195
25,0,44,pooled,0.0063293244506183195
25,0,45,paired,0.008808447691150795
25,0,45,unpaired,
25,0,45,combined,0.008808447691150795
25,0,45,pooled,0.008808447691150795
25,0,46,paired,0.005584924164461562
25,0,46,unpaired,
25,0,46,combined,0.005584924164461562
25,0,46,pooled,0.005584924164461562
25,0,47,paired,0.006318408710768218
25,0,47,unpaired,
25,0,47,combined,0.006318408710768218
25,0,47,pooled,0.006318408710768218
25,0,48,paired,0.016926547726217597
25,0,48,unpaired,
25,0,48,combined,0.016926547726217597
25,0,48,pooled,0.016926547726217597
25,0,49,paired,0.01372315680697384
25,0,49,unpaired,
25,0,49,combined,0.01372315680697384
25,0,49,pooled,0.01372315680697384
25,10,0,paired,0.020446194191033207
25,10,0,unpaired,0.3035247933002653
25,10,0,combined,0.05168225281204553
25,10,0,pooled,0.04679856446607319
25,10,1,paired,0.009804083626030354
25,10,1,unpaired,0.1667821418457512
25,10,1,combined,0.020922284524063688
25,10,1,pooled,0.029444661841520572
25,10,2,paired,0.013979737631781137
25,10,2,unpaired,0.19763495284957172
25,10,2,combined,0.02380552895795175
25,10,2,pooled,0.020008996456346934
25,10,3,paired,0.0172829212380234
25,10,3,unpaired,0.21007344044514448
25,10,3,combined,0.02346100945608037
25,10,3,pooled,0.021456159059286817
25,10,4,paired,0.016823302990803295
25,10,4,unpaired,0.2621187319951055
25,10,4,combined,0.038862520933964285
25,10,4,pooled,0.03261580335503808
25,10,5,paired,0.007190017654820461
25,10,5,unpaired,0.2460107378564313
25,10,5,combined,0.03176023290876493
25,10,5,pooled,0.024740317979784574
25,10,6,paired,0.017231657116628454
25,10,6,unpaired,0.2959466979071699
25,10,6,combined,0.038784496166403545
25,10,6,pooled,0.03635812041124332
25,10,7,paired,0.020020125214157688
25,10,7,unpaired,0.2571272885492893
25,10,7,combined,0.023041203517238772
25,10,7,pooled,0.019516465640499494
25,10,8,paired,0.014844462237783369
25,10,8,unpaired,0.17633508419302701
25,10,8,combined,0.01601520023605182
25,10,8,pooled,0.018250147746349588
25,10,9,paired,0.008938543779180618
25,10,9,unpaired,0.27572009908473266
25,10,9,combined,0.025580737438708416
25,10,9,pooled,0.021712667646519544
25,10,10,paired,0.049640825613386536
25,10,10,unpaired,0.15703294775511414
25,10,10,combined,0.037089371213354025
25,10,10,pooled,0.029686426626308795
25,10,11,paired,0.04044321692337426
25,10,11,unpaired,0.26897915245856474
25,10,11,combined,0.04359469872585362
25,10,11,pooled,0.034193269009161587
25,10,12,paired,0.021102113026379522
25,10,12,unpaired,0.18232568897790483
25,10,12,combined,0.02450971311942478
25,10,12,pooled,0.03348437676271648
25,10,13,paired,0.007509348735082327
25,10,13,unpaired,0.19810111900832464
25,10,13,combined,0.021520955853245066
25,10,13,pooled,0.018340898754200502
25,10,14,paired,0.012625936018179495
25,10,14,unpaired,0.2000816826952583
25,10,14,combined,0.02024136951503607
25,10,14,pooled,0.018553959818437903
25,10,15,paired,0.011511347123152365
25,10,15,unpaired,0.2750969086908569
25,10,15,combined,0.025348974906002502
25,10,15,pooled,0.02739610295148546
25,10,16,paired,0.010535722583104517
25,10,16,unpaired,0.17944457764903085
25,10,16,combined,0.017022948148244364
25,10,16,pooled,0.020184021456793037
25,10,17,paired,0.030492438002481356
25,10,17,unpaired,0.1809465803935683
25,10,17,combined,0.022463694900196136
25,10,17,pooled,0.029576035961194822
25,10,18,paired,0.008096987879525872
25,10,18,unpaired,0.1864295285021578
25,10,18,combined,0.017515429836989893
25,10,18,pooled,0.01449798631305377
25,10,19,paired,0.04189375251026007
25,10,19,unpaired,0.17348332541944278
25,10,19,combined,0.029357497013645144
25,10,19,pooled,0.037810132206863044
25,10,20,paired,0.013666966968255066
25,10,20,unpaired,0.15881672842543978
25,10,20,combined,0.016698006514248093
25,10,20,pooled,0.022844580026571786
25,10,21,paired,0.011529888508316767
25,10,21,unpaired,0.37404499366288707
25,10,21,combined,0.04382605040551966
25,10,21,pooled,0.03217962478086107
25,10,22,paired,0.014170729545371082
25,10,22,unpaired,0.33195146786003743
25,10,22,combined,0.03943333041237066
25,10,22,pooled,0.029151226746556867
25,10,23,paired,0.014121320366192238
25,10,23,unpaired,0.21446761108103285
25,10,23,combined,0.030155328321196186
25,10,23,pooled,0.02855653750188125
25,10,24,paired,0.006855384137818411
25,10,24,unpaired,0.23987485180158696
25,10,24,combined,0.019099934431616065
25,10,24,pooled,0.01581410050085377
25,10,25,paired,0.005471264515093269
