experiment,estimator,mae,seed,obs_prob
task_parity,rbf_paired,1.9867336693952224,13,0.2
task_parity,rbf_unpaired,1.6983047168794667,13,0.2
task_parity,rbf_combined,1.4399117546023525,13,0.2
task_parity,rbf_paired,1.8005805760495945,14,0.2
task_parity,rbf_unpaired,1.370814022245702,14,0.2
task_parity,rbf_combined,1.3386721692533579,14,0.2
task_parity,rbf_paired,1.750081073330337,15,0.2
task_parity,rbf_unpaired,1.3954529482748759,15,0.2
task_parity,rbf_combined,1.2258948032391956,15,0.2
task_parity,rbf_paired,1.6140096647786766,16,0.2
task_parity,rbf_unpaired,1.310951714015141,16,0.2
task_parity,rbf_combined,1.1675198670705493,16,0.2
task_parity,rbf_paired,1.79582700943134,17,0.2
task_parity,rbf_unpaired,1.451082652494216,17,0.2
task_parity,rbf_combined,1.1887452093449622,17,0.2
task_parity,rbf_paired,2.002649177977092,18,0.2
task_parity,rbf_unpaired,1.7386681615956523,18,0.2
task_parity,rbf_combined,1.461606350822361,18,0.2
task_parity,rbf_paired,1.921523429432566,19,0.2
task_parity,rbf_unpaired,1.5077715999393095,19,0.2
task_parity,rbf_combined,1.357998343867791,19,0.2
task_parity,rbf_paired,1.7989840325411626,20,0.2
task_parity,rbf_unpaired,1.4459446498109882,20,0.2
task_parity,rbf_combined,1.3313591022839775,20,0.2
task_parity,rbf_paired,1.8140924164941337,21,0.2
task_parity,rbf_unpaired,1.5391188308428587,21,0.2
task_parity,rbf_combined,1.3240319221783914,21,0.2
task_parity,rbf_paired,1.9194076200284258,22,0.2
task_parity,rbf_unpaired,1.7318135095212452,22,0.2
task_parity,rbf_combined,1.4352844997841419,22,0.2
task_parity,rbf_paired,1.8018028597262656,23,0.2
task_parity,rbf_unpaired,1.328291556795151,23,0.2
task_parity,rbf_combined,1.2472697876155554,23,0.2
task_parity,rbf_paired,1.8601127080774233,24,0.2
task_parity,rbf_unpaired,1.551413262762429,24,0.2
task_parity,rbf_combined,1.2622267890115824,24,0.2
task_parity,rbf_paired,1.9024818204186518,25,0.2
task_parity,rbf_unpaired,1.5164496024835759,25,0.2
task_parity,rbf_combined,1.4141621065237282,25,0.2
task_parity,rbf_paired,1.79016197289205,26,0.2
task_parity,rbf_unpaired,1.44710056362991,26,0.2
task_parity,rbf_combined,1.2945473743973601,26,0.2
task_parity,rbf_paired,1.6979604562087198,27,0.2
task_parity,rbf_unpaired,1.3045661092699712,27,0.2
task_parity,rbf_combined,1.228661055649366,27,0.2
