experiment,estimator,rmse,seed,n_models
n_models,rbf_paired,2.426248616842304,23,50
n_models,rbf_unpaired,1.987438997782981,23,50
n_models,rbf_combined,1.834103997964924,23,50
n_models,rbf_paired,2.125981927395624,24,50
n_models,rbf_unpaired,2.0600699873927435,24,50
n_models,rbf_combined,1.8457175499423228,24,50
n_models,rbf_paired,2.160315672881588,25,50
n_models,rbf_unpaired,1.9696640267743664,25,50
n_models,rbf_combined,1.735604285955883,25,50
n_models,rbf_paired,2.1273011476840717,26,50
n_models,rbf_unpaired,1.900083500763698,26,50
n_models,rbf_combined,1.7857308462224175,26,50
n_models,rbf_paired,2.308842695275676,27,50
n_models,rbf_unpaired,2.270742151944102,27,50
n_models,rbf_combined,2.0335230213574187,27,50
n_models,rbf_paired,2.23174976934575,28,50
n_models,rbf_unpaired,1.9911432986102613,28,50
n_models,rbf_combined,1.8062614446648997,28,50
n_models,rbf_paired,2.382433097033928,29,50
n_models,rbf_unpaired,2.05388259139831,29,50
n_models,rbf_combined,1.8515623686733145,29,50
n_models,rbf_paired,2.222510041341279,30,50
n_models,rbf_unpaired,1.963797863790238,30,50
n_models,rbf_combined,1.836731384610249,30,50
n_models,rbf_paired,1.97045807687823,31,50
n_models,rbf_unpaired,1.8001895907362306,31,50
n_models,rbf_combined,1.5557260571350635,31,50
n_models,rbf_paired,2.205439083400011,32,50
n_models,rbf_unpaired,2.1208340931283343,32,50
n_models,rbf_combined,1.9847102581615392,32,50
n_models,rbf_paired,2.1374828590873043,33,50
n_models,rbf_unpaired,1.7663633609851557,33,50
n_models,rbf_combined,1.6332936430957938,33,50
n_models,rbf_paired,1.659535242662084,34,50
n_models,rbf_unpaired,1.591753088528151,34,50
n_models,rbf_combined,1.3617373025980803,34,50
n_models,rbf_paired,2.060241855777081,35,50
n_models,rbf_unpaired,1.7947728541756214,35,50
n_models,rbf_combined,1.6110318595064843,35,50
n_models,rbf_paired,1.9533620968518692,36,50
n_models,rbf_unpaired,1.6505217875639848,36,50
n_models,rbf_combined,1.5598475150516198,36,50
n_models,rbf_paired,2.190545321217386,37,50
n_models,rbf_unpaired,1.939901048680145,37,50
n_models,rbf_combined,1.7672786365861364,37,50
n_models,rbf_paired,2.0119186283852866,38,50
n_models,rbf_unpaired,1.8380685827875,38,50
n_models,rbf_combined,1.6438808685987247,38,50
n_models,rbf_paired,2.034533004096377,39,50
n_models,rbf_unpaired,1.548762037939307,39,50
n_models,rbf_combined,1.5110290617174822,39,50
n_models,rbf_paired,2.358579525921075,40,50
n_models,rbf_unpaired,1.9698698456764487,40,50
n_models,rbf_combined,1.8524915158324533,40,50
n_models,rbf_paired,2.014207611155271,41,50
n_models,rbf_unpaired,1.7753324969800182,41,50
n_models,rbf_combined,1.6616638505314605,41,50
n_models,rbf_paired,1.8718691646705743,42,50
n_models,rbf_unpaired,1.6533044309811993,42,50
n_models,rbf_combined,1.5132453831815766,42,50
n_models,rbf_paired,2.060522861861593,43,50
n_models,rbf_unpaired,1.795657432383439,43,50
n_models,rbf_combined,1.5863352616634212,43,50
n_models,rbf_paired,2.5161395218118243,44,50
n_models,rbf_unpaired,2.425124206990294,44,50
n_models,rbf_combined,1.9585280990386444,44,50
n_models,rbf_paired,2.137727519586219,45,50
n_models,rbf_unpaired,1.8607553615488968,45,50
n_models,rbf_combined,1.6313393132748812,45,50
n_models,rbf_paired,2.0115646007949373,46,50
n_models,rbf_unpaired,1.7705727752657463,46,50
n_models,rbf_combined,1.593001656606569,46,50
n_models,rbf_paired,2.0282319309038086,47,50
n_models,rbf_unpaired,1.963912479804685,47,50
n_models,rbf_combined,1.6046351405191863,47,50
n_models,rbf_paired,2.240674033514104,48,50
n_models,rbf_unpaired,2.1834095754296485,48,50
n_models,rbf_combined,1.9686354497569385,48,50
n_models,rbf_paired,2.0316224417156485,49,50
n_models,rbf_unpaired,1.9733212775287197,49,50
n_models,rbf_combined,1.7661680629509973,49,50
n_models,rbf_paired,2.119512535545488,0,100
n_models,rbf_unpaired,1.5954117746969003,0,100
n_models,rbf_combined,1.449904063970484,0,100
n_models,rbf_paired,2.387814476437172,1,100
