experiment,estimator,mae,seed,n_tasks
n_tasks,rbf_paired,1.7054522307826334,24,20
n_tasks,rbf_unpaired,1.2751450027659201,24,20
n_tasks,rbf_combined,1.133430234500857,24,20
n_tasks,rbf_paired,1.7317621059525603,25,20
n_tasks,rbf_unpaired,1.3336425527998632,25,20
n_tasks,rbf_combined,1.2044847148783768,25,20
n_tasks,rbf_paired,1.6579819654040147,26,20
n_tasks,rbf_unpaired,1.3089655361424366,26,20
n_tasks,rbf_combined,1.1713280390310117,26,20
n_tasks,rbf_paired,1.5648801761479918,27,20
n_tasks,rbf_unpaired,1.1667821943521701,27,20
n_tasks,rbf_combined,1.0174219362977328,27,20
n_tasks,rbf_paired,1.6432895073957798,28,20
n_tasks,rbf_unpaired,1.1131560421146762,28,20
n_tasks,rbf_combined,0.9988957150373486,28,20
n_tasks,rbf_paired,1.3354621709098982,29,20
n_tasks,rbf_unpaired,1.1857438328496928,29,20
n_tasks,rbf_combined,1.05147423427513,29,20
n_tasks,rbf_paired,1.6877730447247616,30,20
n_tasks,rbf_unpaired,1.2316796491707094,30,20
n_tasks,rbf_combined,1.1364641304207799,30,20
n_tasks,rbf_paired,1.8498048736509998,31,20
n_tasks,rbf_unpaired,1.433635095993733,31,20
n_tasks,rbf_combined,1.1772455212646642,31,20
n_tasks,rbf_paired,1.4074379082370498,32,20
n_tasks,rbf_unpaired,1.1272213165748193,32,20
n_tasks,rbf_combined,0.9890292550506682,32,20
n_tasks,rbf_paired,1.7397018518185876,33,20
n_tasks,rbf_unpaired,1.4197877972539934,33,20
n_tasks,rbf_combined,1.133267194988232,33,20
n_tasks,rbf_paired,1.501350167769541,34,20
n_tasks,rbf_unpaired,1.239168942546282,34,20
n_tasks,rbf_combined,1.1882729354789079,34,20
n_tasks,rbf_paired,1.6061198030954087,35,20
n_tasks,rbf_unpaired,1.202969414810819,35,20
n_tasks,rbf_combined,1.0978416368884727,35,20
n_tasks,rbf_paired,1.4235868041802864,36,20
n_tasks,rbf_unpaired,0.9800269321972707,36,20
n_tasks,rbf_combined,0.90864302406449,36,20
n_tasks,rbf_paired,1.5401615820275207,37,20
n_tasks,rbf_unpaired,1.2157844161061635,37,20
n_tasks,rbf_combined,1.040122457452237,37,20
n_tasks,rbf_paired,1.3937930579226963,38,20
n_tasks,rbf_unpaired,1.1065079888226699,38,20
n_tasks,rbf_combined,0.955988777760511,38,20
n_tasks,rbf_paired,1.6833101912954778,39,20
n_tasks,rbf_unpaired,1.2356909493346901,39,20
n_tasks,rbf_combined,1.1293895708931205,39,20
n_tasks,rbf_paired,1.7609077912382594,40,20
n_tasks,rbf_unpaired,1.2642036906204128,40,20
n_tasks,rbf_combined,1.1628352225594836,40,20
n_tasks,rbf_paired,1.7974833084685964,41,20
n_tasks,rbf_unpaired,1.368406454581613,41,20
n_tasks,rbf_combined,1.2531674716560113,41,20
n_tasks,rbf_paired,1.599618254705571,42,20
n_tasks,rbf_unpaired,1.2404436962876342,42,20
n_tasks,rbf_combined,1.1390448114397287,42,20
n_tasks,rbf_paired,1.525492980979506,43,20
n_tasks,rbf_unpaired,1.2508986480291553,43,20
n_tasks,rbf_combined,1.0546741994353543,43,20
n_tasks,rbf_paired,1.7219542552075997,44,20
n_tasks,rbf_unpaired,1.246781685672327,44,20
n_tasks,rbf_combined,1.1089433913094464,44,20
n_tasks,rbf_paired,1.9201980160750152,45,20
n_tasks,rbf_unpaired,1.5746910843395274,45,20
n_tasks,rbf_combined,1.4240299659738433,45,20
n_tasks,rbf_paired,1.5379408301457627,46,20
n_tasks,rbf_unpaired,1.1525350168769082,46,20
n_tasks,rbf_combined,1.107478982932987,46,20
n_tasks,rbf_paired,1.3606241682696574,47,20
n_tasks,rbf_unpaired,1.1707178286978792,47,20
n_tasks,rbf_combined,1.0002924234171402,47,20
n_tasks,rbf_paired,1.6763860225948561,48,20
n_tasks,rbf_unpaired,1.3869999710580665,48,20
n_tasks,rbf_combined,1.1682807407330194,48,20
n_tasks,rbf_paired,1.5638722054872503,49,20
n_tasks,rbf_unpaired,1.1822749982037646,49,20
n_tasks,rbf_combined,1.0498100137093627,49,20
n_tasks,rbf_paired,1.2152545492429638,0,30
n_tasks,rbf_unpaired,1.1025925392898206,0,30
n_tasks,rbf_combined,1.0301857848736609,0,30
n_tasks,rbf_paired,1.4695578245703051,1,30
n_tasks,rbf_unpaired,1.2056878347849223,1,30
n_tasks,rbf_combined,1.127216427281193,1,30
n_tasks,rbf_paired,1.3103925481212204,2,30
n_tasks,rbf_unpaired,1.125638368462252,2,30
n_tasks,rbf_combined,1.0468763481920809,2,30
n_tasks,rbf_paired,1.2148258787659676,3,30
n_tasks,rbf_unpaired,1.0842744637538038,3,30
n_tasks,rbf_combined,1.0085711993645403,3,30
n_tasks,rbf_paired,1.3606696879552884,4,30
n_tasks,rbf_unpaired,1.1534959525650759,4,30
n_tasks,rbf_combined,1.0859044229496992,4,30
n_tasks,rbf_paired,1.2901800694563674,5,30
n_tasks,rbf_unpaired,1.2610752799916052,5,30
n_tasks,rbf_combined,1.1698692513067575,5,30
n_tasks,rbf_paired,1.1470637280566585,6,30
n_tasks,rbf_unpaired,0.9390356724831344,6,30
n_tasks,rbf_combined,0.8759636808056182,6,30
n_tasks,rbf_paired,1.0468899491230872,7,30
n_tasks,rbf_unpaired,0.9280069399193244,7,30
n_tasks,rbf_combined,0.8734570914409919,7,30
n_tasks,rbf_paired,1.274469915656013,8,30
n_tasks,rbf_unpaired,1.1137094132022345,8,30
n_tasks,rbf_combined,1.0661904917444525,8,30
n_tasks,rbf_paired,1.2938874463148335,9,30
n_tasks,rbf_unpaired,1.1102272963732702,9,30
n_tasks,rbf_combined,1.0544380474342832,9,30
n_tasks,rbf_paired,1.3866352186543227,10,30
n_tasks,rbf_unpaired,1.0423243832134594,10,30
n_tasks,rbf_combined,0.9808857624685635,10,30
n_tasks,rbf_paired,1.2275660595821278,11,30
n_tasks,rbf_unpaired,1.0701416133651953,11,30
n_tasks,rbf_combined,1.0174456392199638,11,30
n_tasks,rbf_paired,1.509765059369697,12,30
n_tasks,rbf_unpaired,1.142831622368224,12,30
n_tasks,rbf_combined,1.044598747784114,12,30
n_tasks,rbf_paired,1.3621969392493722,13,30
n_tasks,rbf_unpaired,1.1635282124120292,13,30
n_tasks,rbf_combined,1.0905781036212354,13,30
