experiment,estimator,mae,seed,query_obs_prob
query_sparsity,rbf_paired,1.8060893836940628,18,0.3
query_sparsity,rbf_unpaired,1.4437708833996474,18,0.3
query_sparsity,rbf_combined,1.3962700569827435,18,0.3
query_sparsity,rbf_paired,1.8059146266122328,19,0.3
query_sparsity,rbf_unpaired,1.4645952845455974,19,0.3
query_sparsity,rbf_combined,1.1823497941535037,19,0.3
query_sparsity,rbf_paired,1.7530870471189999,20,0.3
query_sparsity,rbf_unpaired,1.3311715952561205,20,0.3
query_sparsity,rbf_combined,1.167932280963301,20,0.3
query_sparsity,rbf_paired,1.6404163954709452,21,0.3
query_sparsity,rbf_unpaired,1.3912350621662117,21,0.3
query_sparsity,rbf_combined,1.2371458147203278,21,0.3
query_sparsity,rbf_paired,1.8910111632505107,22,0.3
query_sparsity,rbf_unpaired,1.5499141844555198,22,0.3
query_sparsity,rbf_combined,1.224701627256359,22,0.3
query_sparsity,rbf_paired,1.7613136459028556,23,0.3
query_sparsity,rbf_unpaired,1.169269678059092,23,0.3
query_sparsity,rbf_combined,1.11922848402424,23,0.3
query_sparsity,rbf_paired,1.8204585309387236,24,0.3
query_sparsity,rbf_unpaired,1.4183990771982373,24,0.3
query_sparsity,rbf_combined,1.1936410497807348,24,0.3
query_sparsity,rbf_paired,1.8518425741574969,25,0.3
query_sparsity,rbf_unpaired,1.3760912806777938,25,0.3
query_sparsity,rbf_combined,1.2442773823032294,25,0.3
query_sparsity,rbf_paired,1.7574790096530941,26,0.3
query_sparsity,rbf_unpaired,1.3359508877450952,26,0.3
query_sparsity,rbf_combined,1.1965075843902562,26,0.3
query_sparsity,rbf_paired,1.6477366266509907,27,0.3
query_sparsity,rbf_unpaired,1.2085478916791403,27,0.3
query_sparsity,rbf_combined,1.0529837886142501,27,0.3
query_sparsity,rbf_paired,1.7588834409764031,28,0.3
query_sparsity,rbf_unpaired,1.248981053707294,28,0.3
query_sparsity,rbf_combined,1.0163901682903116,28,0.3
query_sparsity,rbf_paired,1.6939048568691453,29,0.3
query_sparsity,rbf_unpaired,1.2159562519135894,29,0.3
query_sparsity,rbf_combined,1.1009687125043783,29,0.3
query_sparsity,rbf_paired,1.7782075038796086,30,0.3
query_sparsity,rbf_unpaired,1.245226754391041,30,0.3
query_sparsity,rbf_combined,1.145190356287555,30,0.3
query_sparsity,rbf_paired,1.90394354396125,31,0.3
query_sparsity,rbf_unpaired,1.4181922202811856,31,0.3
query_sparsity,rbf_combined,1.233853069604949,31,0.3
query_sparsity,rbf_paired,1.59954854176626,32,0.3
query_sparsity,rbf_unpaired,1.2669604718198602,32,0.3
query_sparsity,rbf_combined,1.0241046050636675,32,0.3
query_sparsity,rbf_paired,1.7939199459369501,33,0.3
query_sparsity,rbf_unpaired,1.453769035935854,33,0.3
query_sparsity,rbf_combined,1.151101532181087,33,0.3
query_sparsity,rbf_paired,1.7822548078753557,34,0.3
query_sparsity,rbf_unpaired,1.395794074818561,34,0.3
query_sparsity,rbf_combined,1.2156721785159728,34,0.3
query_sparsity,rbf_paired,1.7782275055218262,35,0.3
query_sparsity,rbf_unpaired,1.3211719929066954,35,0.3
