experiment,estimator,rmse,seed,task_spread
task_spread,rbf_combined,0.3585471969581231,39,0.25
task_spread,rbf_paired,0.5869555862636014,40,0.25
task_spread,rbf_unpaired,0.41707277509438007,40,0.25
task_spread,rbf_combined,0.37564833513677826,40,0.25
task_spread,rbf_paired,0.6183894453558738,41,0.25
task_spread,rbf_unpaired,0.4102202354865729,41,0.25
task_spread,rbf_combined,0.3785158383449055,41,0.25
task_spread,rbf_paired,0.5833212904914893,42,0.25
task_spread,rbf_unpaired,0.38147744528596056,42,0.25
task_spread,rbf_combined,0.36029037983301543,42,0.25
task_spread,rbf_paired,0.5256914042939257,43,0.25
task_spread,rbf_unpaired,0.3521797361854252,43,0.25
task_spread,rbf_combined,0.3331169747051057,43,0.25
task_spread,rbf_paired,0.5780981647890521,44,0.25
task_spread,rbf_unpaired,0.4698532879948721,44,0.25
task_spread,rbf_combined,0.36277094026442736,44,0.25
task_spread,rbf_paired,0.6529779478910052,45,0.25
task_spread,rbf_unpaired,0.43862195788678887,45,0.25
task_spread,rbf_combined,0.42002585296949424,45,0.25
task_spread,rbf_paired,0.5587474807095948,46,0.25
task_spread,rbf_unpaired,0.42702960460710016,46,0.25
task_spread,rbf_combined,0.35527946724895676,46,0.25
task_spread,rbf_paired,0.4808360179601699,47,0.25
task_spread,rbf_unpaired,0.3984367716219883,47,0.25
task_spread,rbf_combined,0.3163156565642603,47,0.25
task_spread,rbf_paired,0.5846112546010588,48,0.25
task_spread,rbf_unpaired,0.4324297041664554,48,0.25
task_spread,rbf_combined,0.36843185543238044,48,0.25
task_spread,rbf_paired,0.5580313766052899,49,0.25
task_spread,rbf_unpaired,0.3729684227083398,49,0.25
task_spread,rbf_combined,0.33207665684993565,49,0.25
task_spread,rbf_paired,1.060817941554434,0,0.5
task_spread,rbf_unpaired,0.7479195451863858,0,0.5
task_spread,rbf_combined,0.6639652062387741,0,0.5
task_spread,rbf_paired,1.2008418824173388,1,0.5
task_spread,rbf_unpaired,0.8724346942891287,1,0.5
task_spread,rbf_combined,0.7393084103607133,1,0.5
task_spread,rbf_paired,1.0187920328754152,2,0.5
task_spread,rbf_unpaired,0.8126596689248244,2,0.5
task_spread,rbf_combined,0.6143916514891545,2,0.5
task_spread,rbf_paired,1.06564310619989,3,0.5
task_spread,rbf_unpaired,0.8583149518352057,3,0.5
task_spread,rbf_combined,0.6819692068067965,3,0.5
task_spread,rbf_paired,1.1092489689688474,4,0.5
task_spread,rbf_unpaired,0.8267612198292936,4,0.5
task_spread,rbf_combined,0.699661370669799,4,0.5
task_spread,rbf_paired,1.093075708952978,5,0.5
task_spread,rbf_unpaired,0.7312984563105375,5,0.5
task_spread,rbf_combined,0.7091487818172167,5,0.5
task_spread,rbf_paired,1.1038533095592058,6,0.5
task_spread,rbf_unpaired,0.7136124064564737,6,0.5
task_spread,rbf_combined,0.6788148251976605,6,0.5
task_spread,rbf_paired,0.8978156255245731,7,0.5
task_spread,rbf_unpaired,0.662289475002077,7,0.5
task_spread,rbf_combined,0.5573011083982158,7,0.5
task_spread,rbf_paired,1.182804099876183,8,0.5
task_spread,rbf_unpaired,0.9147653130535188,8,0.5
task_spread,rbf_combined,0.7505887512428682,8,0.5
task_spread,rbf_paired,1.1920236207853308,9,0.5
task_spread,rbf_unpaired,0.8703000475124291,9,0.5
task_spread,rbf_combined,0.7118724073148515,9,0.5
task_spread,rbf_paired,1.1906799492708078,10,0.5
task_spread,rbf_unpaired,0.7365307783926439,10,0.5
task_spread,rbf_combined,0.6867617818689151,10,0.5
task_spread,rbf_paired,1.0241900411873877,11,0.5
task_spread,rbf_unpaired,0.7600543803251062,11,0.5
task_spread,rbf_combined,0.6693776513101168,11,0.5
task_spread,rbf_paired,1.1932798568794074,12,0.5
task_spread,rbf_unpaired,1.0133985373491274,12,0.5
task_spread,rbf_combined,0.7191565856245045,12,0.5
task_spread,rbf_paired,1.331033337146773,13,0.5
task_spread,rbf_unpaired,1.118070021599604,13,0.5
task_spread,rbf_combined,0.8215565581580455,13,0.5
task_spread,rbf_paired,1.1518582054566906,14,0.5
task_spread,rbf_unpaired,0.7437847903709571,14,0.5
task_spread,rbf_combined,0.7048215720915679,14,0.5
task_spread,rbf_paired,1.0729179409397456,15,0.5
task_spread,rbf_unpaired,0.7071507155974522,15,0.5
task_spread,rbf_combined,0.6648777486736129,15,0.5
task_spread,rbf_paired,1.0136776287387697,16,0.5
