obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,93,8,2,combined,0.1845818874966403,knn,0.25
0.4,93,8,2,matcomplete,0.13924399611762775,knn,0.25
0.4,93,8,2,ensemble,0.13546883759500075,knn,0.25
0.4,93,8,3,combined,0.17474146393069967,knn,0.25
0.4,93,8,3,matcomplete,0.14993512014500432,knn,0.25
0.4,93,8,3,ensemble,0.1410287122511413,knn,0.25
0.4,93,8,4,combined,0.19736493365542224,knn,0.25
0.4,93,8,4,matcomplete,0.14554567475133065,knn,0.25
0.4,93,8,4,ensemble,0.13733892896999214,knn,0.25
0.4,93,8,5,combined,0.1804455401070535,knn,0.4
0.4,93,8,5,matcomplete,0.14351351132617776,knn,0.4
0.4,93,8,5,ensemble,0.13560270526478305,knn,0.4
0.4,93,8,6,combined,0.1835874034490907,knn,0.35000000000000003
0.4,93,8,6,matcomplete,0.14234789886822666,knn,0.35000000000000003
0.4,93,8,6,ensemble,0.13421341535622594,knn,0.35000000000000003
0.4,93,8,7,combined,0.19851445275068608,knn,0.25
0.4,93,8,7,matcomplete,0.1517186000006821,knn,0.25
0.4,93,8,7,ensemble,0.14370559009583495,knn,0.25
0.4,93,8,8,combined,0.1805894891009258,knn,0.35000000000000003
0.4,93,8,8,matcomplete,0.14679857637811264,knn,0.35000000000000003
0.4,93,8,8,ensemble,0.13760839945234016,knn,0.35000000000000003
0.4,93,8,9,combined,0.19734469729744492,knn,0.15000000000000002
0.4,93,8,9,matcomplete,0.13241584175944118,knn,0.15000000000000002
0.4,93,8,9,ensemble,0.1330136798704829,knn,0.15000000000000002
0.4,93,8,10,combined,0.18489520629365638,knn,0.35000000000000003
0.4,93,8,10,matcomplete,0.15297966389943837,knn,0.35000000000000003
0.4,93,8,10,ensemble,0.1423970193428048,knn,0.35000000000000003
0.4,93,8,11,combined,0.1897486439695764,knn,0.30000000000000004
0.4,93,8,11,matcomplete,0.13688341683162938,knn,0.30000000000000004
0.4,93,8,11,ensemble,0.13493785637061986,knn,0.30000000000000004
0.4,93,16,0,combined,0.16280360354730106,knn,0.30000000000000004
0.4,93,16,0,matcomplete,0.13020309285394344,knn,0.30000000000000004
0.4,93,16,0,ensemble,0.1269084467669643,knn,0.30000000000000004
0.4,93,16,1,combined,0.16473183399608135,knn,0.30000000000000004
0.4,93,16,1,matcomplete,0.11828807481290445,knn,0.30000000000000004
0.4,93,16,1,ensemble,0.11693804425271032,knn,0.30000000000000004
0.4,93,16,2,combined,0.16439440491318827,knn,0.25
0.4,93,16,2,matcomplete,0.12039107015631853,knn,0.25
0.4,93,16,2,ensemble,0.11751419054452947,knn,0.25
0.4,93,16,3,combined,0.1500683887758388,knn,0.30000000000000004
0.4,93,16,3,matcomplete,0.11658501952018731,knn,0.30000000000000004
0.4,93,16,3,ensemble,0.11292020354155537,knn,0.30000000000000004
0.4,93,16,4,combined,0.15973182135798097,knn,0.2
0.4,93,16,4,matcomplete,0.11932394862531684,knn,0.2
0.4,93,16,4,ensemble,0.11329843640901706,knn,0.2
0.4,93,16,5,combined,0.15869051888497618,knn,0.30000000000000004
0.4,93,16,5,matcomplete,0.1213930430526693,knn,0.30000000000000004
0.4,93,16,5,ensemble,0.11535791736992779,knn,0.30000000000000004
0.4,93,16,6,combined,0.16009530535530297,knn,0.35000000000000003
0.4,93,16,6,matcomplete,0.12795261905634148,knn,0.35000000000000003
0.4,93,16,6,ensemble,0.12272818267887034,knn,0.35000000000000003
0.4,93,16,7,combined,0.16488685107683945,knn,0.2
0.4,93,16,7,matcomplete,0.12244005953662104,knn,0.2
0.4,93,16,7,ensemble,0.1202851461970911,knn,0.2
0.4,93,16,8,combined,0.14897803799204207,knn,0.30000000000000004
0.4,93,16,8,matcomplete,0.12131206810941261,knn,0.30000000000000004
0.4,93,16,8,ensemble,0.11657465703390356,knn,0.30000000000000004
0.4,93,16,9,combined,0.1705435676162362,knn,0.30000000000000004
0.4,93,16,9,matcomplete,0.12193560403273,knn,0.30000000000000004
0.4,93,16,9,ensemble,0.12395798307607325,knn,0.30000000000000004
0.4,93,16,10,combined,0.15633846847782334,knn,0.30000000000000004
0.4,93,16,10,matcomplete,0.11625775269135016,knn,0.30000000000000004
0.4,93,16,10,ensemble,0.11194054628910946,knn,0.30000000000000004
0.4,93,16,11,combined,0.14801853235250334,knn,0.35000000000000003
0.4,93,16,11,matcomplete,0.12076498129855891,knn,0.35000000000000003
0.4,93,16,11,ensemble,0.11777940361312715,knn,0.35000000000000003
0.4,93,32,0,combined,0.14841639944558938,knn,0.25
0.4,93,32,0,matcomplete,0.11583810691283747,knn,0.25
0.4,93,32,0,ensemble,0.11280799903378363,knn,0.25
